AVANT-PROPOS.	AVANT-PROPOS.
Voici un petit conte indien qui renferme plus de vérités que bien des histoires.	Voici un petit conte indien qui renferme plus de vérités que bien des histoires.
Je l’avois destiné à augmenter la relation d’un voyage à l’Ile de France, publiée en 1773, et que je me propose de faire réimprimer avec des additions.	Je l'avais destiné à augmenter la relation d'un voyage à l'Île de France, publiée en 1773, et que je me propose de faire réimprimer avec des additions.
Comme j’y parle des Indiens qui sont dans cette île, j’avois voulu y joindre un tableau des mœurs de ceux qui sont dans l’Inde, d’après des notes assez intéressantes que je m’étois procurées.	Comme j'y parle des Indiens qui sont dans cette île, j'avais voulu y joindre un tableau des mœurs de ceux qui sont dans l'Inde, d'après des notes assez intéressantes que je m'étais procurées.
J’en avois donc formé un épisode que j’avois lié à une anecdocte historique qui en fait le commencement.	J'en avais donc formé un épisode que j'avais lié à une anecdote historique qui en fait le commencement.
C'est à l’occasion d’une compagnie de savans anglois, envoyés il y a une trentaine d’années, dans diverses parties du monde, pour y recueillir des lumières sur plusieurs objets des sciences.	C'est à l'occasion d'une compagnie de savants anglais, envoyés il y a une trentaine d'années, dans diverses parties du monde, pour y recueillir des lumières sur plusieurs objets des sciences.
J’y parle d’un d’entre eux, qui vint aux Indes pour concourir aux progrès de la vérité ;	J'y parle d'un d'entre eux, qui vint aux Indes pour concourir aux progrès de la vérité;
mais comme cet épisode formoit un hors-d’œuvre dans mon ouvrage, j’ai jugé à propos de le publier séparément.	mais comme cet épisode formait un hors-d'œuvre dans mon ouvrage, j'ai jugé à propos de le publier séparément.
Je proteste ici que je n’ai eu aucune intention de jeter quelque ridicule sur les académies, quoique j’aie beaucoup à m’en plaindre, non par rapport à ma personne, mais à cause des intérêts de la vérité*, qu’ils persécutent souvent, quand elle contrarie leurs systêmes.	Je proteste ici que je n'ai eu aucune intention de jeter quelque ridicule sur les académies, quoique j'aie beaucoup à m'en plaindre, non par rapport à ma personne, mais à cause des intérêts de la vérité*, qu'ils persécutent souvent, quand elle contrarie leurs systèmes.
Je suis d’ailleurs trop redevable à plusieurs savans anglois qui, sans me connoître et par le seul amour des sciences, ont honoré mes Etudes de la Nature de leurs plus glorieux suffrages, qu’ils n’ont pas craint de publier, comme on peut le voir entre autres dans un extrait de leurs journaux, rapporté par le Moniteur Francois, le 9 février 1790.	Je suis d'ailleurs trop redevable à plusieurs savants anglais qui, sans me connaître et par le seul amour des sciences, ont honoré mes Études de la Nature de leurs plus glorieux suffrages, qu'ils n'ont pas craint de publier, comme on peut le voir entre autres dans un extrait de leurs journaux, rapporté par le Moniteur Français, le 9 février 1790.
Le caractère que j’ai donné à un de leurs confrères, est une preuve non équivoque de mon estime pour eux.	Le caractère que j'ai donné à un de leurs confrères, est une preuve non équivoque de mon estime pour eux.
Certainement j’ai dû regarder comme une démarche qui mérite toute la reconnoissance de leur nation, d’avoir cherché à importer des lumières des pays étrangers en Angleterre, ainsi que je considère celle d’en avoir exporté d’Angleterre dans des pays sauvages, par les voyages de Cook et de Banck, comme digne de toute celle du genre humain.	Certainement j'ai dû regarder comme une démarche qui mérite toute la reconnaissance de leur nation, d'avoir cherché à importer des lumières des pays étrangers en Angleterre, ainsi que je considère celle d'en avoir exporté d'Angleterre dans des pays sauvages, par les voyages de Cook et de Banck, comme digne de toute celle du genre humain.
La première a été imitée depuis par le Danemarck, et la seconde par la France* ;	La première a été imitée depuis par le Danemark, et la seconde par la France*;
mais toutes deux bien malheureusement, puisque de douze savans voyageurs danois, il n’en est revenu qu’un seul dans sa patrie, et que l’on n’a aucune nouvelle des deux vaisseaux de guerre francois, employés à cette mission d’humanité, et commandés par l’infortuné de la Peirouse.	mais toutes deux bien malheureusement, puisque de douze savants voyageurs danois, il n'en est revenu qu'un seul dans sa patrie, et que l'on n'a aucune nouvelle des deux vaisseaux de guerre français, employés à cette mission d'humanité, et commandés par l'infortuné de la Pérouse.
Ce n’est donc point la science en elle-même que je blâme;	Ce n'est donc point la science en elle-même que je blâme;
mais j’ai voulu faire voir que les corps savans, par leur ambition, leur jalousie et leurs préjugés, ne servent que trop souvent d’obstacles à ses progrès.	mais j'ai voulu faire voir que les corps savants, par leur ambition, leur jalousie et leurs préjugés, ne servent que trop souvent d'obstacles à ses progrès.
Je me suis proposé un but encore plus utile, c’est de remédier aux maux dont l’humanité est affligée aux Indes.	Je me suis proposé un but encore plus utile, c'est de remédier aux maux dont l'humanité est affligée aux Indes.
Ma devise est de secourir les malheureux, et j’étends ce sentiment à tous les hommes.	Ma devise est de secourir les malheureux, et j'étends ce sentiment à tous les hommes.
Si la philosophie est venue autrefois des Indes en Europe, pourquoi ne retourneroit-elle pas aujourd’hui de l’Europe civilisée aux Indes devenues barbares à leur tour ?	Si la philosophie est venue autrefois des Indes en Europe, pourquoi ne retournerait-elle pas aujourd'hui de l'Europe civilisée aux Indes devenues barbares à leur tour?
Il vient de se former à Calcuta une société de savans anglois qui détruiront peut-être un jour les préjugés de l’Inde, et par ce bienfait compenseront les maux qu’y ont apportés les guerres et le commerce des Européens.	Il vient de se former à Calcutta une société de savants anglais qui détruiront peut-être un jour les préjugés de l'Inde, et par ce bienfait compenseront les maux qu'y ont apportés les guerres et le commerce des Européens.
Pour moi qui n’influe sur rien, afin de donner plus de faveur et de graces à mes argumens, j’ai tâché de les revêtir de celles d’un conte.	Pour moi qui n'influe sur rien, afin de donner plus de faveur et de grâces à mes arguments, j'ai tâché de les revêtir de celles d'un conte.
C'est avec des contes qu’on rend partout les hommes attentifs à la vérité.	C'est avec des contes qu'on rend partout les hommes attentifs à la vérité.
Nous sommes tous d’Athène en ce point ;	Nous sommes tous d'Athènes en ce point;
et moi-même, Au moment que je fais cette moralité, Si Peau-d’Ane m’étoit conté, J’y prendrois un plaisir extrême.	et moi-même, Au moment que je fais cette moralité, Si Peau-d'Âne m'était conté, J'y prendrais un plaisir extrême.
LA FONTAINE. Le pouvoir des fables, liv. 8, fab. 4.	LA FONTAINE.  Le pouvoir des fables, liv. 8, fab. 4.
On a dit avec plus d’esprit que de raison, que la fable étoit née dans les pays despotiques de l’Orient, et qu’on y avoit voilé la vérite, afin qu’elle pût s’approcher des tyrans.	On a dit avec plus d'esprit que de raison, que la fable était née dans les pays despotiques de l'Orient, et qu'on y avait voilé la vérité, afin qu'elle pût s'approcher des tyrans.
Mais je demande si un Sultan ne se trouveroit pas plus offensé de se voir peint sous l’emblême d’un chat-huant ou d’un léopard, que d’après nature;	Mais je demande si un Sultan ne se trouverait pas plus offensé de se voir peint sous l'emblème d'un chat-huant ou d'un léopard, que d'après nature;
et si des vérités de réflexion ne le blesseroient pas pour le moins autant que des vérités directes ?	et si des vérités de réflexion ne le blesseraient pas pour le moins autant que des vérités directes?
