ACTE PREMIER.	ACTE PREMIER.
Scène première.	Scène première.
Un jardin.	Un jardin.
– Clair de lune ;	– Clair de lune;
un pavillon dans le fond, un autre sur le devant.	un pavillon dans le fond, un autre sur le devant.
Entrent LE DUC et LORENZO, couverts de leurs manteaux ;	Entrent LE DUC et LORENZO, couverts de leurs manteaux;
GIOMO, une lanterne à la main.	GIOMO, une lanterne à la main.
LE DUC.	LE DUC.
Qu'elle se fasse attendre encore un quart d'heure, et je m'en vais.	Qu'elle se fasse attendre encore un quart d'heure, et je m'en vais.
Il fait un froid de tous les diables.	Il fait un froid de tous les diables.
4 LORENZACCIO.	4 LORENZACCIO.
LORENZO.	LORENZO.
Patience, Altesse, patience.	Patience, Altesse, patience.
LE DUC.	LE DUC.
Elle devait sortir de chez sa mère à minuit ;	Elle devait sortir de chez sa mère à minuit;
il est minuit, et elle ne vient pourtant pas.	il est minuit, et elle ne vient pourtant pas.
LORENZO.	LORENZO.
Si elle ne vient pas, dites que je suis un sot, et que la vieille mère est une honnête femme.	Si elle ne vient pas, dites que je suis un sot, et que la vieille mère est une honnête femme.
LE DUC.	LE DUC.
Entrailles du pape ! avec tout cela, je suis volé d'un millier de ducats.	Entrailles du pape! avec tout cela, je suis volé d'un millier de ducats.
LORENZO.	LORENZO.
Nous n'avons avancé que moitié. Je réponds de la petite. Deux grands yeux languissans, cela ne trompe pas. Quoi de plus curieux pour le connaisseur que la débauche à la mamelle !	Nous n'avons avancé que moitié. Je réponds de la petite. Deux grands yeux languissants, cela ne trompe pas. Quoi de plus curieux pour le connaisseur que la débauche à la mamelle!
Voir dans un enfant de quinze ans la rouée à venir ;	Voir dans un enfant de quinze ans la rouée à venir;
étudier, ensemencer, infiltrer paternellement le filon mystérieux du vice dans un conseil d'ami, dans une caresse au menton ;	étudier, ensemencer, infiltrer paternellement le filon mystérieux du vice dans un conseil d'ami, dans une caresse au menton;
– tout dire et ne rien dire, selon le caractère des parens ;	– tout dire et ne rien dire, selon le caractère des parents;
– habituer doucement l'imagination qui se développe à donner des corps à ses fantômes, à toucher ce qui l'effraie, à mépriser ce qui la protége !	– habituer doucement l'imagination qui se développe à donner des corps à ses fantômes, à toucher ce qui l'effraie, à mépriser ce qui la protège!
ACTE Ier, SCÈNE Ire. 5	ACTE Ier, SCÈNE Ire. 5
Cela va plus vite qu'on ne pense ;	Cela va plus vite qu'on ne pense;
le vrai mérite est de frapper juste.	le vrai mérite est de frapper juste.
Et quel trésor que celle-ci !	Et quel trésor que celle-ci!
tout ce qui peut faire passer une nuit délicieuse à Votre Altesse !	tout ce qui peut faire passer une nuit délicieuse à Votre Altesse!
Tant de pudeur !	Tant de pudeur!
Une jeune chatte, qui veut bien des confitures, mais qui ne veut pas se salir la patte !	Une jeune chatte, qui veut bien des confitures, mais qui ne veut pas se salir la patte!
Proprette comme une Flamande !	Proprette comme une Flamande!
La médiocrité bourgeoise en personne !	La médiocrité bourgeoise en personne!
D'ailleurs, fille de bonnes gens, à qui leur peu de fortune n'a pas permis une éducation solide ;	D'ailleurs, fille de bonnes gens, à qui leur peu de fortune n'a pas permis une éducation solide;
point de fond dans les principes, rien qu'un léger vernis ;	point de fond dans les principes, rien qu'un léger vernis;
mais quel flot violent d'un fleuve magnifique sous cette couche de glace fragile, qui craque à chaque pas !	mais quel flot violent d'un fleuve magnifique sous cette couche de glace fragile, qui craque à chaque pas!
Jamais arbuste en fleurs n'a promis de fruits plus rares, jamais je n'ai humé dans une atmosphère enfantine plus exquise odeur de courtisanerie.	Jamais arbuste en fleurs n'a promis de fruits plus rares, jamais je n'ai humé dans une atmosphère enfantine plus exquise odeur de courtisanerie.
LE DUC.	LE DUC.
Sacrebleu !	Sacrebleu!
je ne vois pas le signal.	je ne vois pas le signal.
Il faut pourtant que j'aille au bal chez Nasi :	Il faut pourtant que j'aille au bal chez Nasi:
c'est aujourd'hui qu'il marie sa fille.	c'est aujourd'hui qu'il marie sa fille.
GIOMO.	GIOMO.
Allons au pavillon, monseigneur.	Allons au pavillon, monseigneur.
6 LORENZACCIO.	6 LORENZACCIO.
Puisqu'il ne s'agit que d'emporter une fille qui est à moitié payée, nous pouvons bien taper aux carreaux.	Puisqu'il ne s'agit que d'emporter une fille qui est à moitié payée, nous pouvons bien taper aux carreaux.
LE DUC.	LE DUC.
Viens par ici, le Hongrois a raison.	Viens par ici, le Hongrois a raison.
Ils s'éloignent.	Ils s'éloignent.
Entre Maffio.	Entre Maffio.
MAFFIO.	MAFFIO.
Il me semblait dans mon rêve voir ma soeur traverser notre jardin, tenant une lanterne sourde, et couverte de pierreries.	Il me semblait dans mon rêve voir ma sœur traverser notre jardin, tenant une lanterne sourde, et couverte de pierreries.
Je me suis éveillé en sursaut.	Je me suis éveillé en sursaut.
Dieu sait que ce n'est qu'une illusion, mais une illusion trop forte pour que le sommeil ne s'enfuie pas devant elle.	Dieu sait que ce n'est qu'une illusion, mais une illusion trop forte pour que le sommeil ne s'enfuie pas devant elle.
Grâce au ciel, les fenêtres du pavillon où couche la petite sont fermées comme de coutume ;	Grâce au ciel, les fenêtres du pavillon où couche la petite sont fermées comme de coutume;
j'aperçois faiblement la lumière de sa lampe entre les feuilles de notre vieux figuier.	j'aperçois faiblement la lumière de sa lampe entre les feuilles de notre vieux figuier.
Maintenant, mes folles terreurs se dissipent ;	Maintenant, mes folles terreurs se dissipent;
les battemens précipités de mon coeur font place à une douce tranquillité.	les battements précipités de mon cœur font place à une douce tranquillité.
Insensé !	Insensé!
mes yeux se remplissent de larmes, comme si ma pauvre soeur avait couru un véritable danger.	mes yeux se remplissent de larmes, comme si ma pauvre sœur avait couru un véritable danger.
– Qu'entends-je ?	– Qu'entends-je?
Qui remue là entre les branches ?	Qui remue là entre les branches?
La soeur de Maffio passe dans l'éloignement.	La sœur de Maffio passe dans l'éloignement.
Suis-je éveillé ?	Suis-je éveillé?
c'est le fantôme de ma soeur.	c'est le fantôme de ma sœur.
ACTE Ier, SCÈNE Ire. 7	ACTE Ier, SCÈNE Ire. 7
Il tient une lanterne sourde, et un collier brillant étincelle sur sa poitrine aux rayons de la lune.	Il tient une lanterne sourde, et un collier brillant étincelle sur sa poitrine aux rayons de la lune.
Gabrielle !	Gabrielle!
Gabrielle !	Gabrielle!
où vas-tu ?	où vas-tu?
Rentrent Giomo et le duc.	Rentrent Giomo et le duc.
GIOMO.	GIOMO.
Ce sera le bonhomme de frère, pris de somnambulisme.	Ce sera le bonhomme de frère, pris de somnambulisme.
– Lorenzo conduira votre belle au palais par la petite porte ;	– Lorenzo conduira votre belle au palais par la petite porte;
et quant à nous, qu'avons-nous à craindre ?	et quant à nous, qu'avons-nous à craindre?
MAFFIO.	MAFFIO.
Qui êtes-vous ?	Qui êtes-vous?
Holà !	Holà!
arrêtez !	arrêtez!
Il tire son épée.	Il tire son épée.
GIOMO.	GIOMO.
Honnête rustre, nous sommes tes amis.	Honnête rustre, nous sommes tes amis.
MAFFIO.	MAFFIO.
Où est ma soeur ?	Où est ma sœur?
que cherchez-vous ici ?	que cherchez-vous ici?
GIOMO.	GIOMO.
Ta soeur est dénichée, brave canaille.	Ta sœur est dénichée, brave canaille.
Ouvre la grille de ton jardin.	Ouvre la grille de ton jardin.
MAFFIO.	MAFFIO.
Tire ton épée et défends-toi, assassin que tu es !	Tire ton épée et défends-toi, assassin que tu es!
GIOMO saute sur lui et le désarme.	GIOMO saute sur lui et le désarme.
Halte là !	Halte là!
maître sot, pas si vite !	maître sot, pas si vite!
8 LORENZACCIO.	8 LORENZACCIO.
MAFFIO.	MAFFIO.
O honte !	O honte!
ô excès de misère !	ô excès de misère!
S'il y a des lois à Florence, si quelque justice vit encore sur la terre, par ce qu'il y a de vrai et de sacré au monde, je me jetterai aux pieds du duc, et il vous fera pendre tous les deux.	S'il y a des lois à Florence, si quelque justice vit encore sur la terre, par ce qu'il y a de vrai et de sacré au monde, je me jetterai aux pieds du duc, et il vous fera pendre tous les deux.
GIOMO.	GIOMO.
Aux pieds du duc ?	Aux pieds du duc?
MAFFIO.	MAFFIO.
Oui, oui, je sais que les gredins de votre espèce égorgent impunément les familles.	Oui, oui, je sais que les gredins de votre espèce égorgent impunément les familles.
Mais que je meure, entendez-vous, je ne mourrai pas silencieux comme tant d'autres.	Mais que je meure, entendez-vous, je ne mourrai pas silencieux comme tant d'autres.
Si le duc ne sait pas que sa ville est une forêt pleine de bandits, pleine d'empoisonneurs et de filles déshonorées, en voilà un qui le lui dira.	Si le duc ne sait pas que sa ville est une forêt pleine de bandits, pleine d'empoisonneurs et de filles déshonorées, en voilà un qui le lui dira.
Ah !	Ah!
massacre !	massacre!
ah !	ah!
fer et sang !	fer et sang!
j'obtiendrai justice de vous	j'obtiendrai justice de vous
GIOMO, l'epée à la main.	GIOMO, l'épée à la main.
Faut-il frapper, Altesse ?	Faut-il frapper, Altesse?
LE DUC.	LE DUC.
Allons donc !	Allons donc!
frapper ce pauvre homme !	frapper ce pauvre homme!
Va te recoucher, mon ami ;	Va te recoucher, mon ami;
nous t'enverrons demain quelques ducats.	nous t'enverrons demain quelques ducats.
Il sort.	Il sort.
ACTE Ier, SCÈNE II. 9	ACTE Ier, SCÈNE II. 9
MAFFIO.	MAFFIO.
C'est Alexandre de Médicis !	C'est Alexandre de Médicis!
GIOMO,	GIOMO,
Lui-même, mon brave rustre.	Lui-même, mon brave rustre.
Ne te vante pas de sa visite si tu tiens à tes oreilles.	Ne te vante pas de sa visite si tu tiens à tes oreilles.
Il sort.	Il sort.
Scène deuxième.	Scène deuxième.
Une rue.	Une rue.
– Le point du jour.	– Le point du jour.
Plusieurs masques sortent d'une maison illuminée ;	Plusieurs masques sortent d'une maison illuminée;
un MARCHAND DE SOIERIES et un ORFÈVRE ouvrent leurs boutiques.	un MARCHAND DE SOIERIES et un ORFÈVRE ouvrent leurs boutiques.
LE MARCHAND DE SOIERIES.	LE MARCHAND DE SOIERIES.
Hé, hé, père Mondella, voilà bien du vent pour mes étoffes.	Hé, hé, père Mondella, voilà bien du vent pour mes étoffes.
Il étale ses pièces de soie.	Il étale ses pièces de soie.
L'ORFÈVRE, bâillant.	L'ORFÈVRE, bâillant.
C'est à se casser la tête !	C'est à se casser la tête!
Au diable leur noce !	Au diable leur noce!
je n'ai pas fermé l'oeil de la nuit.	je n'ai pas fermé l'œil de la nuit.
10 LORENZACCIO.	10 LORENZACCIO.
LE MARCHAND.	LE MARCHAND.
Ni ma femme non plus, voisin ;	Ni ma femme non plus, voisin;
la chère âme s'est tournée et retournée comme une anguille.	la chère âme s'est tournée et retournée comme une anguille.
Ah !	Ah!
dame !	dame!
quand on est jeune, on ne s'endort pas au bruit des violons.	quand on est jeune, on ne s'endort pas au bruit des violons.
L'ORFÈVRE.	L'ORFÈVRE.
Jeune ! 	Jeune! 
Jeune !	Jeune! 
cela vous plaît à dire.	cela vous plaît à dire.
On n'est pas jeune avec une barbe comme celle-là ;	On n'est pas jeune avec une barbe comme celle-là;
et cependant Dieu sait si leur damnée musique me donne envie de danser !	et cependant Dieu sait si leur damnée musique me donne envie de danser!
Deux écoliers passent.	Deux écoliers passent.
PREMIER ÉCOLIER.	PREMIER ÉCOLIER.
Rien n'est plus amusant.	Rien n'est plus amusant.
On se glisse contre la porte au milieu des soldats, et on les voit descendre avec leurs habits de toutes les couleurs.	On se glisse contre la porte au milieu des soldats, et on les voit descendre avec leurs habits de toutes les couleurs.
Tiens, voilà la maison des Nasi.	Tiens, voilà la maison des Nasi.
Il souffle clans ses doigts.	Il souffle clans ses doigts.
Mon porte-feuille me glace les mains.	Mon porte-feuille me glace les mains.
DEUXIÈME ÉCOLIER.	DEUXIÈME ÉCOLIER.
Et on nous laissera approcher ?	Et on nous laissera approcher?
PREMIER ÉCOLIER.	PREMIER ÉCOLIER.
En vertu de quoi est-ce qu'on nous en empêcherait ?	En vertu de quoi est-ce qu'on nous en empêcherait?
Nous sommes citoyens de Florence. Regarde tout ce monde autour de la porte ;	Nous sommes citoyens de Florence. Regarde tout ce monde autour de la porte;
ACTE Ier, SCÈNE II. 11	ACTE Ier, SCÈNE II. 11
en voilà des chevaux, des pages, et des livrées !	en voilà des chevaux, des pages, et des livrées!
Tout cela va et vient, il n y a qu'a s'y connaître un peu ;	Tout cela va et vient, il n y a qu'a s'y connaître un peu;
je suis capable de nommer	je suis capable de nommer
toutes les personnes d'importance ;	toutes les personnes d'importance;
on observe bien tous les costumes, et le soir on dit à l'atelier :	on observe bien tous les costumes, et le soir on dit à l'atelier:
J'ai une terrible envie de dormir, j'ai passé la nuit au bal chez le prince Aldobrandini, chez le comte Salviati ;	J'ai une terrible envie de dormir, j'ai passé la nuit au bal chez le prince Aldobrandini, chez le comte Salviati;
le prince était habillé de telle ou telle façon, la princesse de telle autre, et on ne ment pas.	le prince était habillé de telle ou telle façon, la princesse de telle autre, et on ne ment pas.
Viens, prends ma cape par-derrière.	Viens, prends ma cape par-derrière.
Ils se placent contre la porte de la maison.	Ils se placent contre la porte de la maison.
L'ORFÈVRE.	L'ORFÈVRE.
Entendez-vous les petits badauds ?	Entendez-vous les petits badauds?
Je voudrais qu'un de mes apprentis fît un pareil métier !	Je voudrais qu'un de mes apprentis fît un pareil métier!
LE MARCHAND.	LE MARCHAND.
Bon, bon, père Mondella, où le plaisir ne coûte rien, la jeunesse n'a rien à perdre.	Bon, bon, père Mondella, où le plaisir ne coûte rien, la jeunesse n'a rien à perdre.
Tous ces grands yeux étonnés de ces petits polissons me réjouissent le coeur.	Tous ces grands yeux étonnés de ces petits polissons me réjouissent le cœur.
– Voilà comme j'étais, humant l'air et cherchant les nouvelles.	– Voilà comme j'étais, humant l'air et cherchant les nouvelles.
Il paraît que la Nasi est une belle gaillarde, et que le Martelli est un heureux garçon.	Il paraît que la Nasi est une belle gaillarde, et que le Martelli est un heureux garçon.
C'est une famille bien Florentine, celle-là !	C'est une famille bien Florentine, celle-là!
