BELPHÉGOR	BELPHÉGOR
VAUDEVILLE FANTASTIQUE	VAUDEVILLE FANTASTIQUE
PAR	PAR
MM. DUMANOIR, SAINT-YVES ET AD. CHOLER.	MM. DUMANOIR, SAINT-YVES ET AD. CHOLER.
Représenté, pour la première fois,	Représenté, pour la première fois,
sur le théâtre de la Montansier (Palais-Royal),	sur le théâtre de la Montansier (Palais-Royal),
le 20 mai 1851.	le 20 mai 1851.
Note relative à la mise en scène.	Note relative à la mise en scène.
Scène III.	Scène III.
— Quand Belphégor pénètre dans le gâteau, la couronne de ce gâteau demeure sur la table, le fond seul forme une trappe qui descend, et, dès que le personnage a disparu, un autre fond, qui était suspendu par une charnière, vient remplacer le premier.	— Quand Belphégor pénètre dans le gâteau, la couronne de ce gâteau demeure sur la table, le fond seul forme une trappe qui descend, et, dès que le personnage a disparu, un autre fond, qui était suspendu par une charnière, vient remplacer le premier.
Quand Fiametta en coupe une tranche, elle fait glisser un fragment de ce fond, découpé en tranche de gâteau et disposé en coulisse, sous lequel elle trouve la tranche réelle de gâteau qu’elle donne à Pépito.	Quand Fiametta en coupe une tranche, elle fait glisser un fragment de ce fond, découpé en tranche de gâteau et disposé en coulisse, sous lequel elle trouve la tranche réelle de gâteau qu’elle donne à Pépito.
Scène VII. — Le bosquet doit être ainsi disposé :	Scène VII. — Le bosquet doit être ainsi disposé :
derrière la grande ouverture qui fait face au public et qui ne descend pas jusqu’au plancher, est un premier fond de la même étendue que l’ouverture, et qui divise le bosquet en deux parties, sans que le spectateur puisse s’en apercevoir.	derrière la grande ouverture qui fait face au public et qui ne descend pas jusqu’au plancher, est un premier fond de la même étendue que l’ouverture, et qui divise le bosquet en deux parties, sans que le spectateur puisse s’en apercevoir.
Quand Honesta se précipite dans le bosquet, elle passe derrière ce premier châssis ;	Quand Honesta se précipite dans le bosquet, elle passe derrière ce premier châssis ;
une autre femme, vêtue exactement comme elle, le voile également baissé, et qui était blottie dans l’angle formé par les parties pleines, parait devant le châssis en continuant le mouvement commencé par l’actrice.	une autre femme, vêtue exactement comme elle, le voile également baissé, et qui était blottie dans l’angle formé par les parties pleines, parait devant le châssis en continuant le mouvement commencé par l’actrice.
Quand le personnage doit s’enfuir du bosquet, la fausse Honesta s’arrête dans le coin où elle s’était tenue cachée, et l’actrice placée derrière le châssis qui divise le bosquet, s’élance en scène, en achevant le mouvement de sortie.	Quand le personnage doit s’enfuir du bosquet, la fausse Honesta s’arrête dans le coin où elle s’était tenue cachée, et l’actrice placée derrière le châssis qui divise le bosquet, s’élance en scène, en achevant le mouvement de sortie.
Pour que la personne chargée de représenter l’actrice ne soit pas tenue de rester à son poste durant toute la représentation, le châssis doit être mobile, de façon qu’elle puisse s’en échapper, en le rapprochant du coin du bosquet, avec précaution toutefois et sans attirer l’attention du spectateur.	Pour que la personne chargée de représenter l’actrice ne soit pas tenue de rester à son poste durant toute la représentation, le châssis doit être mobile, de façon qu’elle puisse s’en échapper, en le rapprochant du coin du bosquet, avec précaution toutefois et sans attirer l’attention du spectateur.
Nota.	Nota.
Les indications de droite et de gauche sont prises de la salle :	Les indications de droite et de gauche sont prises de la salle :
le personnage inscrit le premier occupe la gauche du spectateur.	le personnage inscrit le premier occupe la gauche du spectateur.
BELPHÉGOR	BELPHÉGOR
VAUDEVILLE FANTASTIQUE.	VAUDEVILLE FANTASTIQUE.
Le théâtre représente un Jardin en terrasse, avec balustrade au rond.	Le théâtre représente un Jardin en terrasse, avec balustrade au rond.
— À droite, au deuxième plan, l’entrée de la villa du marquis, exhaussée de quelques marches.	— À droite, au deuxième plan, l’entrée de la villa du marquis, exhaussée de quelques marches.
— À gauche, au premier plan, un pavillon de jardinier, dont la porte fait presque face au spectateur.	— À gauche, au premier plan, un pavillon de jardinier, dont la porte fait presque face au spectateur.
— Au deuxième plan, un bosquet carré en charmille dont l’entrée fait face à la villa ;	— Au deuxième plan, un bosquet carré en charmille dont l’entrée fait face à la villa ;
en face du spectateur, une grande ouverture, en forme de fenêtre, qui laisse voir l’intérieur du bosquet, dans lequel est un banc.	en face du spectateur, une grande ouverture, en forme de fenêtre, qui laisse voir l’intérieur du bosquet, dans lequel est un banc.
— Plus à droite, et touchant au bosquet, une touffe de dahlias de toutes couleurs.	— Plus à droite, et touchant au bosquet, une touffe de dahlias de toutes couleurs.
— À droite, au premier plan, masquant les marches du palais, une table rustique, et, près de cette table, une chaise.	— À droite, au premier plan, masquant les marches du palais, une table rustique, et, près de cette table, une chaise.
Scène PREMIÈRE.	Scène PREMIÈRE.
FIAMETTA, seule.	FIAMETTA, seule.
Elle sort du pavillon, portant un gâteau, qu’elle pose sur la table de droite.	Elle sort du pavillon, portant un gâteau, qu’elle pose sur la table de droite.
Là !…	Là !…
j’espère que voilà une pâtisserie un peu réussie…	j’espère que voilà une pâtisserie un peu réussie…
C’est blond comme les cheveux de mon cher Pépito…	C’est blond comme les cheveux de mon cher Pépito…
c’est appétissant comme ses joues…	c’est appétissant comme ses joues…
et c’est tendre…	et c’est tendre…
comme lui, quoi !…	comme lui, quoi !…
(Se tournant vers le pavillon.)	(Se tournant vers le pavillon.)
Aussi, vous voyez, monsieur…	Aussi, vous voyez, monsieur…
on vous mijote, on vous sucre…	on vous mijote, on vous sucre…
on se lève en catimini pour vous faire de la pasta-frolla…	on se lève en catimini pour vous faire de la pasta-frolla…
(À elle-même.)	(À elle-même.)
Dame !	Dame !
un petit mari de huit jours…	un petit mari de huit jours…
tout frais, tout neuf…	tout frais, tout neuf…
et si gentil !	et si gentil !
AIR : Renaud de Montauban.	AIR : Renaud de Montauban.
Il est tout jeune, à peine dix-neuf ans ;	Il est tout jeune, à peine dix-neuf ans ;
Il est charmant de taille et de figure ;	Il est charmant de taille et de figure ;
Il a pour moi mille seins complaisants.	Il a pour moi mille seins complaisants.
Pourvu, mon Dieu, pourvu que ça dure !	Pourvu, mon Dieu, pourvu que ça dure !
Car les maris, surtout ceux d'à présent,	Car les maris, surtout ceux d'à présent,
(Montrant le gâteau.)	(Montrant le gâteau.)
Aux p’tits patés ressembl’nt à s’y méprendre :	Aux p’tits patés ressembl’nt à s’y méprendre :
Quand c’est tout chaud, c’est toujours tendre,	Quand c’est tout chaud, c’est toujours tendre,
Ça d’vient rassis en r’froidissant.	Ça d’vient rassis en r’froidissant.
(Voyant près du bosquet une bêche et un rateau.)	(Voyant près du bosquet une bêche et un rateau.)
Mais…	Mais…
ce n’est pas tout que d’être époux, il faut être jardinier…	ce n’est pas tout que d’être époux, il faut être jardinier…
de temps en temps…	de temps en temps…
quand on est aux gages d’un marquis…	quand on est aux gages d’un marquis…
Il a beau ne jamais venir ici M. Brancador…	Il a beau ne jamais venir ici M. Brancador…
il tient beaucoup à ses fleurs…	il tient beaucoup à ses fleurs…
de loin…	de loin…
Et déjà neuf heures !…	Et déjà neuf heures !…
l’heure de donner à boire aux dahlias !	l’heure de donner à boire aux dahlias !
(Appelant.) Pépito !…	(Appelant.) Pépito !…
allons, mon petit Pépito !…	allons, mon petit Pépito !…
Il ne répond pas…	Il ne répond pas…
(Elle ouvre la porte du pavillon.) Je crois bien, il dort…	(Elle ouvre la porte du pavillon.) Je crois bien, il dort…
Dame !	Dame !
ça se conçoit…	ça se conçoit…
nous nous sommes couchés de si bonne heure, hier !…	nous nous sommes couchés de si bonne heure, hier !…
Mais les dahlias…	Mais les dahlias…
ils ont l’air d’avoir la pépie…	ils ont l’air d’avoir la pépie…
ce grand jaune surtout…	ce grand jaune surtout…
C’est-y drôle !	C’est-y drôle !
