Je pourray bien dessus moy-mesme	Je pourrai bien dessus moi-même
Quoy que mon amour soit extresme,	Quoi que mon amour soit extrême,
Obtenir encore ce poinct,	Obtenir encore ce point,
De dire que je n'ayme poinct.	De dire que je n’aime point.
Mais feindre d'en aymer un autre,	Mais feindre d’en aimer un autre,
Et d'en adorer l'œil vainqueur,	Et d’en adorer l’œil vainqueur,
Comme en effect je fay le vostre,	Comme en effet je fais le vôtre,
Je n'en sçaurois avoir le cœur.	Je n’en saurais avoir le cœur.
Et s'il le faut, ou que je meure,	Et s’il le faut, ou que je meure,
Faites moy mourir de bonne heure.	Faites-moi mourir de bonne heure.
La beauté qu'à mon dam la mort a peu dissoudre,	La beauté qu’à mon dam la mort a pu dissoudre,
La despoüillant si tost de son humanité,	La dépouillant si tôt de son humanité,
Passa comme un esclair, & brusla comme un foudre,	Passa comme un éclair, et brûla comme un foudre,
Tant sa vie fut courte et grande sa beauté.	Tant sa vie fut courte et grande sa beauté.
Ces yeux jadis autheurs des douces entreprises	Ces yeux jadis auteurs des douces entreprises
Des plus douces amours, sont à jamais fermez ;	Des plus douces amours, sont à jamais fermés;
Yeux qui furent si plains, de toutes mignardises	Yeux qui furent si pleins, de toutes mignardises
Qu'on ne les vid jamais sans qu'ils fussent aymez.	Qu’on ne les vit jamais sans qu’ils fussent aimés.
S'il est vray la beauté d'entre nous est ravie,	S’il est vrai la beauté d’entre nous est ravie,
Amour pleure vaincu, qui fut tousjours vaincoeur,	Amour pleure vaincu, qui fut toujours vainqueur,
Et celle qui donnoit à mille cœurs la vie,	Et celle qui donnait à mille cœurs la vie,
Est morte, si ce n'est qu'elle vive en mon cœur.	Est morte, si ce n’est qu’elle vive en mon cœur.
Et quel bien desormais pourroit estre agreable,	Et quel bien désormais pourrait être agréable,
Puis que le plus parfait est le plustost ravy ?	Puisque le plus parfait est le plus tôt ravi?
Et qu'ainsi que du corps l'ombre est inseparable ?	Et qu’ainsi que du corps l’ombre est inséparable?
Il faut qu'un bien tousjours soit du mal-heur suivy.	Il faut qu’un bien toujours soit du malheur suivi.
Il semble aussi, Cleon, que vostre destinée	Il semble aussi, Cléon, que votre destinée
Ayt dés son Orient vostre jour achevé,	Ait dès son Orient votre jour achevé,
Puis que vostre beauté morte aussi tost que née,	Puisque votre beauté morte aussitôt que née,
Au lieu de son berceau, son cercueil a treuvé.	Au lieu de son berceau, son cercueil a trouvé.
Mais je me trompe, helas ! je suis le mort moy-mesme,	Mais je me trompe, hélas! je suis le mort moi-même,
Puis que quand j'ay vescu c'est vous qui m'animiez	Puisque quand j’ai vécu c’est vous qui m’animiez
Et si l'Amant peut vivre en la chose qu'il ayme,	Et si l’Amant peut vivre en la chose qu’il aime,
Vous estes vive en moy parce que vous m'aymiez.	Vous êtes vive en moi parce que vous m’aimiez.
