NYMFE qui iamais ne ſommeilles,	NYMPHE qui jamais ne sommeilles,
Et dont les meſſages diuers	Et dont les messages divers
En vn moment ſont aux oreilles	En un moment sont aux oreilles
Des peuples de tout l’vniuers:	Des peuples de tout l’univers:
Vole viſte,& de la contree	Votre visite, et de la contrée
Par où le iour fait ſon entree	Par où le jour fait son entrée
Iuſqu'au riuage de Calis,	Jusqu'au rivage de Calis,
Conte ſur la terre & ſur l’onde	Conte sur la terre et sur l’onde
Que l’honneur vnique du monde	Que l’honneur unique du monde
C'eſt la Reine des fleurs de lis.	C'est la Reine des fleurs de lys.
Quand ſon Henry, de qui la gloire	Quand son Henry, de qui la gloire
Fut vne merueille à nos yeux,	Fut une merveille à nos yeux,
Loin des hommes s’en alla boire	Loin des hommes s’en alla boire
Le nectar aueques les Dieux:	Le nectar auquel les Dieux:
En ceſte auenture effroyable,	En cette aventure effroyable,
A qui ne ſembloit-il croyable	À qui ne semblait-il croyable
Qu'on alloit voir vne ſaiſon,	Qu'on allait voir une saison,
Où nos brutales perfidies	Où nos brutales perfidies
Feroient naiſtre des maladies	Feraient naître des maladies
Qui n'auroient iamais gueriſon?	Qui n'auraient jamais guérison?
Qui ne penſoit que les furies	Qui ne pensait que les furies
Viendroient des abiſmes d’enfer	Viendraient des abîmes d’enfer
En de nouuelles barbaries	En de nouvelles barbaries
Employer la flamme & le fer?	Employer la flamme et le fer?
Qu'vn débordement de licence	Qu'un débordement de licence
Feroit ſouffrir à l’innocence	Ferait souffrir à l’innocence
Toute ſorte de cruautez?	Toute sorte de cruautés?
Et que nos malheurs ſeroient pires	Et que nos malheurs seraient pires
Que nagueres ſous les Buſires	Que naguères sous les Busires
Que cet Hercule auoit donteZ?	Que cet Hercule avait domptés?
Toutesfois depuis l’infortune	Toutefois depuis l’infortune
De ceſt abominable iour,	De cet abominable jour,
A peine la quatrieme lune	À peine la quatrième lune
Acheue de faire ſon tour:	Achève de faire son tour:
Et la France a les deſtinées	Et la France a les destinées
Pour elle tellement tournées	Pour elle tellement tournées
Contre les vents ſeditieux,	Contre les vents fasditieux,
Qu’au lieu de craindre la tépeſte,	Qu’au lieu de craindre la tempête,
Il ſemble que iamais ſa teſte	Il semble que jamais sa tête
Ne fut ſi voiſine des cieux.	Ne fut si voisine des cieux.
Au dela des bors de la Meuſe	Au-delà des bords de la Meuse
L'Alemagne a veu nos guerriers	L'Allemagne a vu nos guerriers
Par vne conqueſte fameuſe	Par une conquête fameuse
Se couurir le front de lauriers.	Se couvrir le front de lauriers.
Tout a flechy ſous leur menace:	Tout à fléchi sous leur menace:
L'Aigle meſme leur a fait place;	L'Aigle même leur a fait place;
Et les regardant approcher,	Et les regardant approcher,
Comme lyons à qui tout cede,	Comme lions à qui tout cède,
N'a point eu de meilleur remede	N'a point eu de meilleur remède
Que de fuyr & ſe cacher.	Que de fuir et se cacher.
O Reine qui pleine de charmes	Ô Reine qui pleine de charmes
Pour toute ſorte d’accidens,	Pour toute ſorte d’accidents,
As borné le flus de nos larmes	As borné le flux de nos larmes
En ces miracles euidens:	En ces miracles évidents:
Que peut la fortune publique	Que peut la fortune publique
Te vouër d’aſſeZ magnifique	Te vouer d’assez magnifique
Si miſe au rang des immortels,	Si mise au rang des immortels,
Dont ta vertu ſuit les exemples,	Dont ta vertue ſuit les exemples,
Tu n'as auec eux dans nos temples	Tu n'as avec eux dans nos temples
Des images & des autels?	Des images et des autels?
Que ſçauroit enſeigner aux princes	Que saurait enseigner aux princes
Le grand demon qui les inſtruit,	Le grand démon qui les instruit,
Dont ta ſageſſe en nos prouinces	Dont ta sagesse en nos provinces
Chaque iour n’eſpande le fruit?	Chaque jour n’épande le fruit?
Et qui iustement ne peut dire,	Et qui justement ne peut dire,
A te voir regir cet empire,	À te voir régir cet empire,
ſi ton heur eſtoit pareil	Si ton heur était pareil
