PREMIÈRE PARTIE	PREMIÈRE PARTIE
DOGME ET DOCTRINE.	DOGME ET DOCTRINE.
LIVRE I.	LIVRE I.
MYSTÈRES ET SACREMENTS.	MYSTÈRES ET SACREMENTS.
CHAPITRE PREMIER.	CHAPITRE PREMIER.
INTRODUCTION.	INTRODUCTION.
Depuis que le christianisme a paru sur la terre, trois espèces d’ennemis l’ont constamment attaqué:	Depuis que le christianisme a paru sur la terre, trois espèces d'ennemis l'ont constamment attaqué:
les hérésiarques, les sophistes, et ces hommes, en apparence frivoles, qui détruisent tout en riant.	les hérésiarques, les sophistes, et ces hommes, en apparence frivoles, qui détruisent tout en riant.
De nombreux apologistes ont victorieusement répondu aux subtilités et aux mensonges;	De nombreux apologistes ont victorieusement répondu aux subtilités et aux mensonges;
mais ils ont été moins heureux contre la dérision.	mais ils ont été moins heureux contre la dérision.
Saint Ignace d’Antioche[1], saint Irénée, évêque de Lyon[2], Tertullien, dans son Traité des Prescriptions, que Bossuet appelle divin, combattirent les novateurs, dont les interprétations superbes corrompoient la simplicité de la foi.	Saint Ignace d'Antioche[1], saint Irénée, évêque de Lyon[2], Tertullien, dans son Traité des Prescriptions, que Bossuet appelle divin, combattirent les novateurs, dont les interprétations superbes corrompaient la simplicité de la foi.
La calomnie fut repoussée d’abord par Quadrat et Aristide, philosophes d’Athènes:	La calomnie fut repoussée d'abord par Quadrat et Aristide, philosophes d'Athènes:
on ne connoît rien de leurs apologies, hors un fragment de la première, conservé par Eusèbe.	on ne connaît rien de leurs apologies, hors un fragment de la première, conservé par Eusèbe.
Saint Jérôme et l’évêque de Césarée parlent de la seconde comme d’un chef-d’œuvre[1].	Saint Jérôme et l'évêque de Césarée parlent de la seconde comme d'un chef-d'œuvre[1].
Les païens reprochaient aux fidèles l’athéisme, l’inceste, et certains repas abominables où l’on mangeoit, disoit-on, la chair d’un enfant nouveau-né.	Les païens reprochaient aux fidèles l'athéisme, l'inceste, et certains repas abominables où l'on mangeait, disait-on, la chair d'un enfant nouveau-né.
Saint Justin plaida la cause des chrétiens après Quadrat et Aristide:	Saint Justin plaida la cause des chrétiens après Quadrat et Aristide:
son style est sans ornement, et les actes de son martyre prouvent qu’il versa son sang pour sa religion avec la même simplicité qu’il écrivit pour elle[2].	son style est sans ornement, et les actes de son martyre prouvent qu'il versa son sang pour sa religion avec la même simplicité qu'il écrivit pour elle[2].
Athénagore a mis plus d’esprit dans sa défense;	Athénagore a mis plus d'esprit dans sa défense;
mais il n’a ni la manière originale de Justin, ni l’impétuosité de l’auteur de l’Apologétique.	mais il n'a ni la manière originale de Justin, ni l'impétuosité de l'auteur de l'Apologétique.
Tertullien est le Bossuet africain et barbare;	Tertullien est le Bossuet africain et barbare;
Théophile, dans les trois livres à son ami Autolyque, montre de l’imagination et du savoir;	Théophile, dans les trois livres à son ami Autolyque, montre de l'imagination et du savoir;
