fichier,ligne,mot_suspect,original,modernise
Agrippa_tragiques_1616_btv1b8626243d.tsv,34,fènera,Ou que Dieu fenera par le vent de ſa bouche.,Ou que Dieu fènera par le vent de sa bouche.
Agrippa_tragiques_1616_btv1b8626243d.tsv,47,repurge,"De ton feu pur, repurge außi de meſmes feux","De ton feu pur, repurge aussi de mêmes feux"
Agrippa_tragiques_1616_btv1b8626243d.tsv,80,l'Hippocrène,"Au lieu de l'Hypocrene, eſveillant cette Sœur","Au lieu de l'Hippocrène, éveillant cette Sœur"
Agrippa_tragiques_1616_btv1b8626243d.tsv,107,méshui,"Mais ſon Iasob preſſé d’avoir jeuſné meſui,",Mais son Jacob pressé d'avoir jeûné méshui
Agrippa_tragiques_1616_btv1b8626243d.tsv,138,valuer,"Nul, qui de ſa valeur entreprenne la preuve:","Nul, qui de sa valuer entrepenne la preuve:"
Agrippa_tragiques_1616_btv1b8626243d.tsv,138,entrepenne,"Nul, qui de ſa valeur entreprenne la preuve:","Nul, qui de sa valuer entrepenne la preuve:"
Baif_brave_1567_bpt6k70129d.tsv,9,ébarlue,"Venant aux mains, elle ébarlue","Venant aux mains, elle ébarlue"
Baif_brave_1567_bpt6k70129d.tsv,28,Avecque,Auecque vous n'oſeroit pas,Avecque vous n'oserez pas
Baif_brave_1567_bpt6k70129d.tsv,29,S'aparager,"S'aparager, non ſans raiſon,","S'aparager, non sans raison,"
Baif_brave_1567_bpt6k70129d.tsv,33,d'Edinton,"Mais, aux aproches d'Edinton,","Mais, aux approches d'Edinton,"
Baif_brave_1567_bpt6k70129d.tsv,36,Millor,"Ce braue Millor, qui eſtoit","Ce brave Millor, qui était"
Baif_brave_1567_bpt6k70129d.tsv,52,vanteur,"Plus vanteur, plus audacieux,","Plus vanteur, plus audacieux,"
Baif_brave_1567_bpt6k70129d.tsv,72,doncques,Il fauſt doncques,Il faut doncques
Baif_brave_1567_bpt6k70129d.tsv,79,Dombarre,Ne fiſſiez: quand deuant Dombarre,Ne fissiez: quand devant Dombarre
Baif_brave_1567_bpt6k70129d.tsv,82,Edinton,"En prit vn deuant Edinton,","En prit un devant Edinton,"
Baif_brave_1567_bpt6k70129d.tsv,96,male,Que le ventre & la malle fain?,Que le ventre et la male faim?
Baif_brave_1567_bpt6k70129d.tsv,118,coeur,"La volonte de voſtre cueur,","La volonté de votre coeur,"
Baif_brave_1567_bpt6k70129d.tsv,128,Northumberlandais,Et trente Notomberlandois:,Et trente Northumberlandais:
Bellay_Olive_1549_btv1b86095195.tsv,1,quiers,IE ne quiers pas la fameuſe Couronne,JE ne quiers pas la fameuse Couronne
Bellay_Olive_1549_btv1b86095195.tsv,6,Cypre,"Le mol rameau en Cypre decoré,","Le mol rameau en Cypre décoré,"
Bellay_Olive_1549_btv1b86095195.tsv,39,Avecque,"Auecques toy, leur Fleuue Paternel.","Avecque toi, leur Fleuve Paternel."
Bellay_Olive_1549_btv1b86095195.tsv,55,emblent,"Coeur, Cors, Eſprit, Sẽs, Ame, & uouloir ẽblẽt","Cœur, Corps, Esprit, Sens, Âme, et vouloir emblent"
Bellay_Olive_1549_btv1b86095195.tsv,64,ententifs,Trop ententifz à ceſte grand' Beauté.,Trop ententifs à cette grand' Beauté.
Bellay_Olive_1549_btv1b86095195.tsv,75,cuide,Et ſi de pres il cuyde paruenir,Et si de près il cuide parvenir
Bellay_Olive_1549_btv1b86095195.tsv,77,nuisante,Telle clarté à uoir luy eſt nuyſante,Telle clarté à voir lui est nuisante
Bellay_Olive_1549_btv1b86095195.tsv,108,Entrenouez,"Entrenouez, creſpes, egaulx, & longs,","Entrenouez, crêpes, égaux, et longs,"
Bellay_Olive_1549_btv1b86095195.tsv,118,ainçois,Le uerd Printemps: aincoys de toutes pars,Le vert Printemps: ainçois de toutes parts
Bellay_Olive_1549_btv1b86095195.tsv,119,ards,"Flore uoyant que d’autre amour tu ards,","Flore voyant que d'autre amour tu ards,"
Bernardin_chaumiere_1791_btv1b8613380t_reg.tsv,12,Banck,"Certainement j’ai dû regarder comme une démarche qui mérite toute la reconnoissance de leur nation, d’avoir cherché à importer des lumières des pays étrangers en Angleterre, ainsi que je considère celle d’en avoir exporté d’Angleterre dans des pays sauvages, par les voyages de Cook et de Banck, comme digne de toute celle du genre humain.","Certainement j'ai dû regarder comme une démarche qui mérite toute la reconnaissance de leur nation, d'avoir cherché à importer des lumières des pays étrangers en Angleterre, ainsi que je considère celle d'en avoir exporté d'Angleterre dans des pays sauvages, par les voyages de Cook et de Banck, comme digne de toute celle du genre humain."
Bernardin_chaumiere_1791_btv1b8613380t_reg.tsv,29,Sélim-Cha,"Thomas Rhoé, ambasadeur d’Angleterre auprès de Sélim-Cha, empereur du Mogol, rapporte que ce prince très-despotique ayant fait ouvrir devant lui des coffres qui arrivoient d’Angleterre, afin d’y prendre quelques présens qui lui étoient destinés, fut fort surpris d’y trouver un tableau représentant un Satyre qu’une Vénus menoit par le nez.","Thomas Rhoé, ambassadeur d'Angleterre auprès de Sélim-Cha, empereur du Mogol, rapporte que ce prince très-despotique ayant fait ouvrir devant lui des coffres qui arrivaient d'Angleterre, afin d'y prendre quelques présents qui lui étaient destinés, fut fort surpris d'y trouver un tableau représentant un Satyre qu'une Vénus menait par le nez."
Bernardin_chaumiere_1791_btv1b8613380t_reg.tsv,30,rision,"«Il s’imagina, dit-il, que «cette peinture étoit faite en dé «rision des peuples de l’Asie, qu’ils «y étoient figurés par le satyre « noir et cornu, comme étant d’une «même complexion;","«Il s'imagina, dit-il, que «cette peinture était faite en dé «rision des peuples de l'Asie, qu'ils «y étaient figurés par le satyre «noir et cornu, comme étant d'une «même complexion;"
Bernardin_chaumiere_1791_btv1b8613380t_reg.tsv,31,em,"et que la « Vénus qui menoit le Satyre par « le nez, représentoit le grand em« pire que les femmes de ce pays« là ont sur les hommes.» Thomas Rhoé à qui ce tableau étoit adressé, eut bien de la peine à en détruire l’effet dans l’esprit du Mogol, en lui donnant une idée de nos fables ;","et que la «Vénus qui menait le Satyre par «le nez, représentait le grand em« pire que les femmes de ce pays« là ont sur les hommes.» Thomas Rhoé à qui ce tableau était adressé, eut bien de la peine à en détruire l'effet dans l'esprit du Mogol, en lui donnant une idée de nos fables;"
Bernardin_chaumiere_1791_btv1b8613380t_reg.tsv,40,Luqman,"Les Asiatiques ont été dans le même cas, du temps d’Esope et de Lockman ;","Les Asiatiques ont été dans le même cas, du temps d'Ésope et de Luqman;"
Boileau_dialogue_1694_bpt6k5526312v.tsv,26,Rhée,Comme lui nous chanter: * Que dés le temps de Rhée,Comme lui nous chanter: * Que dès le temps de Rhée
Boileau_dialogue_1694_bpt6k5526312v.tsv,38,Phrynés,"Qu'aux temps les plus feconds en Phrynés, en Lays","Qu'aux temps les plus féconds en Phrynés, en Laïs"
Boileau_dialogue_1694_bpt6k5526312v.tsv,38,Laïs,"Qu'aux temps les plus feconds en Phrynés, en Lays","Qu'aux temps les plus féconds en Phrynés, en Laïs"
Boileau_dialogue_1694_bpt6k5526312v.tsv,111,L'Hymenée,"L'Hymenée eſt un joug, & c'eſt ce qui m'en plaiſt.","L'Hymenée est un joug, et c'est ce qui m'en plaît."
Boileau_dialogue_1694_bpt6k5526312v.tsv,119,Desmâres,"Des-mares, * dans ſaint Roch, n’auroit pas mieux preſché.","Desmâres, * dans Saint-Roch, n'aurait pas mieux prêché."
Bonnet_recherches_1754_bpt6k15204009.tsv,7,l'ACADÉMIE,"On a pu voir dans les nouveaux Mémoires publiés par l’ACADÉMIE ROYALE DES SCIENCES (*), les Expériences que j'ai commencées ſur le premier de ces Sujets.","On a pu voir dans les nouveaux Mémoires publiés par l'ACADÉMIE ROYALE DES SCIENCES (*), les Expériences que j'ai commencées sur le premier de ces Sujets."
Bonnet_recherches_1754_bpt6k15204009.tsv,14,SOUBEYRAN,"SOUBEYRAN, qui joint un Eſprit Philoſophique aux Talens d’un excellent Deſſinateur, a deſſiné toutes les Planches de cet Ouvrage, à l'exception de celle qui repréſente les différens Arrangemens des Feuilles.","SOUBEYRAN, qui joint un Esprit Philosophique aux Talents d'un excellent Dessinateur, a dessiné toutes les Planches de cet Ouvrage, à l'exception de celle qui représente les différents Arrangements des Feuilles."
Bonnet_recherches_1754_bpt6k15204009.tsv,18,CALANDRINI,"CALANDRINI (†), auquel je dois encore les remarques & les vuës qui ont ſervi de Baſe à mon travail.","CALANDRINI (†), auquel je dois encore les remarques et les vues qui ont servi de Base à mon travail."
Bonnet_recherches_1754_bpt6k15204009.tsv,21,WANDELAER,WANDELAER dont le ſavant Burin fait l'admiration des Connoiſſeurs dans les magnifiques Tables Anatomiques de Mr.,WANDELAER dont le savant Burin fait l'admiration des Connaisseurs dans les magnifiques Tables Anatomiques de Mr.
Bonnet_recherches_1754_bpt6k15204009.tsv,22,ALBINUS,"ALBINUS, a gravé la plus grande partie des Planches de cet Ouvrage.","ALBINUS, a gravé la plus grande partie des Planches de cet Ouvrage."
Bonnet_recherches_1754_bpt6k15204009.tsv,24,SCHLEY,"VAN DER SCHLEY, qui a donné des preuves de ſon habileté dans la belle Hiſtoire des Polypes de Mr.","VAN DER SCHLEY, qui a donné des preuves de son habileté dans la belle Histoire des Polypes de Mr."
Bonnet_recherches_1754_bpt6k15204009.tsv,29,ALLAMAND,"ALLAMAND, Profeſſeur de Mathématiques & de Philoſophie dans l'Univerſité de Leide, fort connu du Public par d’excellentes Productions en divers genres, a bien voulu s’y intéreſſer jusqu’à ſe charger d'en revoir les Epreuves.","ALLAMAND, Professeur de Mathématiques et de Philosophie dans l'Université de Leyde, fort connu du Public par d'excellentes Productions en divers genres, a bien voulu s'y intéresser jusqu'à se charger d'en revoir les Épreuves."
Bonnet_recherches_1754_bpt6k15204009.tsv,57,CALANDRINI,"CALANDRINI, & dans lequel cet excellent Profeſſeur me communiqua quelques Remarques, qui quoique fort ſimples, montrent à quel point il poſsède l’Eſprit d’obſervation.","CALANDRINI, et dans lequel cet excellent Professeur me communiqua quelques Remarques, qui quoique fort simples, montrent à quel point il possède l'Esprit d'observation."
Bonnet_recherches_1754_bpt6k15204009.tsv,73,CALANDRINI,"CALANDRINI voulut bien me charger du ſoin de la vérifier, & d’approfondir ce ſujet;","CALANDRINI voulut bien me charger du soin de la vérifier, et d'approfondir ce sujet;"
Bonnet_recherches_1754_bpt6k15204009.tsv,76,CALANDRINI,"CALANDRINI une Expérience qui me vint alors dans l’Eſprit, & qui lui parut propre à décider la Queſtion.","CALANDRINI une Expérience qui me vint alors dans l'Esprit, et qui lui parut propre à décider la Question."
Bonnet_recherches_1754_bpt6k15204009.tsv,96,séveux,Les orifices des Vaiſſeaux ſéveux ſont plus grands dans le Pédicule qu’ils ne le ſont dans l'une ou l’autre Surface.,Les orifices des Vaisseaux séveux sont plus grands dans le Pédicule qu'ils ne le sont dans l'une ou l'autre Surface.
Bonnet_recherches_1754_bpt6k15204009.tsv,117,desséchement,"Je n’ai pas cru cependant devoir prendre ce deſſéchement pour terme de la vie des Feuilles des Herbes, laiſſées ſans nourriture.","Je n'ai pas cru cependant devoir prendre ce desséchement pour terme de la vie des Feuilles des Herbes, laissées sans nourriture."
Bonnet_recherches_1754_bpt6k15204009.tsv,127,Lilac,"Le Lilac, 2.","Le Lilac, 2."
Bonnet_recherches_1754_bpt6k15204009.tsv,142,Lilac,"La Vigne de Canada, DE toutes ces Eſpèces le Lilac & le Tremble ſont les ſeules où la Surface ſupérieure des Feuilles ait paru égaler l’inférieure en aptitude à pomper l’humidité.","La Vigne de Canada, DE toutes ces Espèces le Lilac et le Tremble sont les seules où la Surface supérieure des Feuilles ait paru égaler l'inférieure en aptitude à pomper l'humidité."
Bonnet_recherches_1754_bpt6k15204009.tsv,156,Lilac,"Le Lilac, la Vigne, le Meurier blanc, le Soleil, la grande Maulve, le Bouillon blanc, m'en fourniroient des exemples.","Le Lilac, la Vigne, le Mûrier blanc, le Soleil, la grande Mauve, le Bouillon blanc, m'en fourniraient des exemples."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,4,Sardis,"Apoc. 8. 4. Il y a dans l’Egliſe de Sardis un petit nombre de Fideles, pauca nomina, qui n'ont pas ſoüillé leurs veſtemens:","Apoc. 8. 4. Il y a dans l'Église de Sardis un petit nombre de Fidèles, pauca nomina, qui n'ont pas souillé leurs vêtements:"
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,4,pauca,"Apoc. 8. 4. Il y a dans l’Egliſe de Sardis un petit nombre de Fideles, pauca nomina, qui n'ont pas ſoüillé leurs veſtemens:","Apoc. 8. 4. Il y a dans l'Église de Sardis un petit nombre de Fidèles, pauca nomina, qui n'ont pas souillé leurs vêtements:"
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,23,sunt,Sine macula ſunt enim ante thronum Deï.,Sine macula sunt enim ante thronum Dei.
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,23,enim,Sine macula ſunt enim ante thronum Deï.,Sine macula sunt enim ante thronum Dei.
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,23,thronum,Sine macula ſunt enim ante thronum Deï.,Sine macula sunt enim ante thronum Dei.
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,32,tribulatione,"Apoc. 7. 13. 14. Ceux que vous voyez reveſtus d’une robe blanche, ceux-là, dit Saint Jean, viennent d’une grande affliction, de tribulatione magna;","Apoc. 7. 13. 14. Ceux que vous voyez revêtus d'une robe blanche, ceux-là, dit Saint Jean, viennent d'une grande affliction, de tribulatione magna;"
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,63,Deus,"2. Tim. 1.3. Dieu, que ma famille a toûjours ſervi, & à qui je ſuis dédiée par mes Anceſtres. Deus cui ſervio à progenitoribus.","2. Tim. 1.3. Dieu, que ma famille a toujours servi, et à qui je suis dédiée par mes Ancêtres. Deus cui servio à progenitoribus."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,63,cui,"2. Tim. 1.3. Dieu, que ma famille a toûjours ſervi, & à qui je ſuis dédiée par mes Anceſtres. Deus cui ſervio à progenitoribus.","2. Tim. 1.3. Dieu, que ma famille a toujours servi, et à qui je suis dédiée par mes Ancêtres. Deus cui servio à progenitoribus."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,63,servio,"2. Tim. 1.3. Dieu, que ma famille a toûjours ſervi, & à qui je ſuis dédiée par mes Anceſtres. Deus cui ſervio à progenitoribus.","2. Tim. 1.3. Dieu, que ma famille a toujours servi, et à qui je suis dédiée par mes Ancêtres. Deus cui servio à progenitoribus."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,161,Raab,"que tarde-t- elle à ſe ſouvenir & des ſecours de Candie, & de la fameuſe Journée du Raab, où LOUIS renouvella dans le cœur des Infideles l’ancienne opinion qu’ils ont des armes Françoiſes fatales à leur tyrannie, & par des exploits inouïs devint le rempart de l’Auſtriche dont il avoit eſté la terreur?","que tarde-t-elle à se souvenir et des secours de Candie, et de la fameuse Journée du Raab, où LOUIS renouvela dans le cœur des Infidèles l'ancienne opinion qu'ils ont des armes Françaises fatales à leur tyrannie, et par des exploits inouïs devint le rempart de l’Autriche dont il avait été la terreur?"
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,163,Theodosio,"In Theodoſio non Imperatorem, ſed Chriſti ſervum, nec regno, ſed fide Principem prædicamus.","In Theodosio non Imperatorem, sed Christi servum, nec regno, sed fide Principem prædicamus."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,163,Imperatorem,"In Theodoſio non Imperatorem, ſed Chriſti ſervum, nec regno, ſed fide Principem prædicamus.","In Theodosio non Imperatorem, sed Christi servum, nec regno, sed fide Principem prædicamus."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,163,sed,"In Theodoſio non Imperatorem, ſed Chriſti ſervum, nec regno, ſed fide Principem prædicamus.","In Theodosio non Imperatorem, sed Christi servum, nec regno, sed fide Principem prædicamus."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,163,Christi,"In Theodoſio non Imperatorem, ſed Chriſti ſervum, nec regno, ſed fide Principem prædicamus.","In Theodosio non Imperatorem, sed Christi servum, nec regno, sed fide Principem prædicamus."
Bossuet1683_OraisonAutriche_btv1b8606962m_numb_seg_replace.tsv,163,servum,"In Theodoſio non Imperatorem, ſed Chriſti ſervum, nec regno, ſed fide Principem prædicamus.","In Theodosio non Imperatorem, sed Christi servum, nec regno, sed fide Principem prædicamus."
