AVIS DE L'ÉDITEUR. 	AVIS DE L'ÉDITEUR.
MONSIEUR de Monteſquieu avoit pris bien de la peine pour poſer des bornes entre le Deſpotiſme & la Monarchie tempérée, qui lui ſembloit le Gouvernement naturel des François;	MONSIEUR de Montesquieu avait pris bien de la peine pour poser des bornes entre le Despotisme et la Monarchie tempérée, qui lui semblait le Gouvernement naturel des Français;
mais comme il eſt toujours fort dangereux que la Monarchie ne tourne en Deſpotiſme, il auroit voulu, s’il eût été poſſible, rendre le Deſpotiſme même utile. 	mais comme il est toujours fort dangereux que la Monarchie ne tourne en Despotisme, il aurait voulu, s'il eût été possible, rendre le Despotisme même utile.
Dans cette vue il a tracé la peinture la plus riante d'un Deſpote qui rend ſes peuples heureux :	Dans cette vue il a tracé la peinture la plus riante d'un Despote qui rend ses peuples heureux:
il s'eſt peutêtre flatté qu’un jour, en liſant ſon ouvrage, un Prince, une Reine, un Miniſtre, deſireroient de reſſembler à Arſace, à Iſménie ou à Aſpar, ou d’être eux-mêmes les modeles d’une peinture encore plus belle. 	il s'est peut-être flatté qu'un jour, en lisant son ouvrage, un Prince, une Reine, un Ministre, désireraient de ressembler à Arsace, à Isménie ou à Aspar, ou d'être eux-mêmes les modèles d'une peinture encore plus belle.
Au reſte, pluſieurs hommes peuvent être ou Deſpotes, ou Rois dans leur famille, dans leur ſociété, dans leurs emplois divers:	Au reste, plusieurs hommes peuvent être ou Despotes, ou Rois dans leur famille, dans leur société, dans leurs emplois divers:
nous pouvons tous faire notre profit de l’Eſprit des Loix & de cet Ouvrage-ci. 	nous pouvons tous faire notre profit de l'Esprit des Lois et de cet Ouvrage-ci.
L'Auteur voyoit l’empire que les Dames ont aujourd’hui ſur les penſées des hommes :	L'Auteur voyait l'empire que les Dames ont aujourd'hui sur les pensées des hommes:
pour s’aſſurer les Diſciples, il a cherché à ſe rendre les Maîtres favorables;	pour s'assurer les Disciples, il a cherché à se rendre les Maîtres favorables;
il a parlé la langue qui leur eſt la plus familiere & la plus agréable :	il a parlé la langue qui leur est la plus familière et la plus agréable:
il a fait un Roman;	il a fait un Roman;
il y a peint l’amour tel qu’il le ſentoit, impétueux, rarement ſombre, ſouvent badin. 	il y a peint l'amour tel qu'il le sentait, impétueux, rarement sombre, souvent badin.
ARSACE ET ISMÉNIE, HISTOIRE ORIENTALE. 	ARSACE ET ISMÉNIE, HISTOIRE ORIENTALE.
Sur la fin du regne d’Artamene, la Bactriane fut agitée par des diſcordes civiles. 	Sur la fin du règne d'Artamène, la Bactriane fut agitée par des discordes civiles.
Ce Prince mourut accablé d’ennuis, & laiſſa ſon trône à ſa fille Iſménie. 	Ce Prince mourut accablé d'ennuis, et laissa son trône à sa fille Isménie.
Aſpar, premier eunuque du Palais, eut la principale direction des affaires. 	Aspar, premier eunuque du Palais, eut la principale direction des affaires.
Il deſiroit beaucoup le bien de l’état, & il deſiroit fort peu le pouvoir. 	Il désirait beaucoup le bien de l'état, et il désirait fort peu le pouvoir.
Il connoiſſoit les hommes, & jugeoit bien des événements. 	Il connaissait les hommes, et jugeait bien des événements.
Son eſprit étoit naturellement conciliateur, & ſon ame ſembloit s’approcher de toutes les autres. 	Son esprit était naturellement conciliateur, et son âme semblait s'approcher de toutes les autres.
La paix, qu’on n’oſoit plus eſpérer, fut rétablie. 	La paix, qu'on n'osait plus espérer, fut rétablie.
Tel fut le preſtige d’Aſpar;	Tel fut le prestige d'Aspar;
